dataset,trees,budget,selector,status,elapsed_seconds,timeout_seconds,run_dir,message
heart-c,5,20000,info_gain,completed,2.904841999999917,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-c\trees_5\B_20000\selector_info_gain,
heart-c,5,20000,shapley,completed,3.0126587000004292,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-c\trees_5\B_20000\selector_shapley,
heart-c,5,20000,p_value,completed,3.0265473999997994,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-c\trees_5\B_20000\selector_p_value,
heart-c,5,20000,random_node,completed,3.00202790000003,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-c\trees_5\B_20000\selector_random_node,
heart-c,10,20000,info_gain,timeout,300.01039630000014,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-c\trees_10\B_20000\selector_info_gain,stopped after threshold of 300 seconds
heart-c,10,20000,shapley,timeout,300.1738071999998,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-c\trees_10\B_20000\selector_shapley,stopped after threshold of 300 seconds
heart-c,10,20000,p_value,timeout,300.02473830000054,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-c\trees_10\B_20000\selector_p_value,stopped after threshold of 300 seconds
heart-c,10,20000,random_node,timeout,300.20713889999934,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-c\trees_10\B_20000\selector_random_node,stopped after threshold of 300 seconds
heart-h,5,20000,info_gain,completed,3.0576555999996344,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-h\trees_5\B_20000\selector_info_gain,
heart-h,5,20000,shapley,completed,2.068298100000902,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-h\trees_5\B_20000\selector_shapley,
heart-h,5,20000,p_value,completed,2.036986799999795,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-h\trees_5\B_20000\selector_p_value,
heart-h,5,20000,random_node,completed,2.0500928000001295,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-h\trees_5\B_20000\selector_random_node,
heart-h,10,20000,info_gain,completed,4.547624000000724,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-h\trees_10\B_20000\selector_info_gain,
heart-h,10,20000,shapley,completed,3.405916599998818,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-h\trees_10\B_20000\selector_shapley,
heart-h,10,20000,p_value,completed,4.475876599999538,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-h\trees_10\B_20000\selector_p_value,
heart-h,10,20000,random_node,completed,3.9689900999983365,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-h\trees_10\B_20000\selector_random_node,
heart-sa,5,20000,info_gain,completed,2.23097400000006,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-sa\trees_5\B_20000\selector_info_gain,
heart-sa,5,20000,shapley,completed,2.255625900001178,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-sa\trees_5\B_20000\selector_shapley,
heart-sa,5,20000,p_value,completed,2.2146272999998473,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-sa\trees_5\B_20000\selector_p_value,
heart-sa,5,20000,random_node,completed,2.2934698999997636,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-sa\trees_5\B_20000\selector_random_node,
